ResumeText,JobDescription,Label
"Proficient in Java, Spring Boot, and MySQL.",Looking for a Python developer with experience in Django.,True
"Skilled in JavaScript, React, and Node.js.",Looking for a Python developer with experience in Django.,True
"Proficient in Java, Spring Boot, and MySQL.",Looking for a Python developer with experience in Django.,True
Expert in machine learning and data analysis using Python.,Need a frontend engineer skilled in React and CSS.,True
"Experienced in Python, Django, and REST APIs.",Need a frontend engineer skilled in React and CSS.,True
"Skilled in JavaScript, React, and Node.js.",Wanted: HTML/CSS developer with Vue.js knowledge.,False
"Skilled in JavaScript, React, and Node.js.",Need a frontend engineer skilled in React and CSS.,True
"Proficient in Java, Spring Boot, and MySQL.",Hiring for a data analyst with strong Python skills.,True
Expert in machine learning and data analysis using Python.,Wanted: HTML/CSS developer with Vue.js knowledge.,False
"Experienced in Python, Django, and REST APIs.",Looking for a Python developer with experience in Django.,True
Expert in machine learning and data analysis using Python.,Wanted: HTML/CSS developer with Vue.js knowledge.,False
"Skilled in JavaScript, React, and Node.js.",Wanted: HTML/CSS developer with Vue.js knowledge.,False
"Proficient in Java, Spring Boot, and MySQL.",Wanted: HTML/CSS developer with Vue.js knowledge.,False
"Experienced in Python, Django, and REST APIs.",Seeking Java developer with Spring Boot experience.,True
"Frontend developer with experience in HTML, CSS, and Vue.js.",Need a frontend engineer skilled in React and CSS.,False
"Experienced in Python, Django, and REST APIs.",Need a frontend engineer skilled in React and CSS.,True
"Experienced in Python, Django, and REST APIs.",Seeking Java developer with Spring Boot experience.,True
"Skilled in JavaScript, React, and Node.js.",Hiring for a data analyst with strong Python skills.,True
"Skilled in JavaScript, React, and Node.js.",Need a frontend engineer skilled in React and CSS.,True
"Frontend developer with experience in HTML, CSS, and Vue.js.",Seeking Java developer with Spring Boot experience.,True
"Frontend developer with experience in HTML, CSS, and Vue.js.",Hiring for a data analyst with strong Python skills.,False
"Frontend developer with experience in HTML, CSS, and Vue.js.",Need a frontend engineer skilled in React and CSS.,False
"Proficient in Java, Spring Boot, and MySQL.",Hiring for a data analyst with strong Python skills.,True
Expert in machine learning and data analysis using Python.,Looking for a Python developer with experience in Django.,True
"Proficient in Java, Spring Boot, and MySQL.",Seeking Java developer with Spring Boot experience.,True
"Experienced in Python, Django, and REST APIs.",Seeking Java developer with Spring Boot experience.,True
"Experienced in Python, Django, and REST APIs.",Hiring for a data analyst with strong Python skills.,True
"Experienced in Python, Django, and REST APIs.",Need a frontend engineer skilled in React and CSS.,True
"Frontend developer with experience in HTML, CSS, and Vue.js.",Need a frontend engineer skilled in React and CSS.,False
"Skilled in JavaScript, React, and Node.js.",Looking for a Python developer with experience in Django.,True
"Skilled in JavaScript, React, and Node.js.",Need a frontend engineer skilled in React and CSS.,True
"Frontend developer with experience in HTML, CSS, and Vue.js.",Wanted: HTML/CSS developer with Vue.js knowledge.,True
"Frontend developer with experience in HTML, CSS, and Vue.js.",Need a frontend engineer skilled in React and CSS.,False
"Experienced in Python, Django, and REST APIs.",Hiring for a data analyst with strong Python skills.,True
"Experienced in Python, Django, and REST APIs.",Hiring for a data analyst with strong Python skills.,True
"Skilled in JavaScript, React, and Node.js.",Wanted: HTML/CSS developer with Vue.js knowledge.,False
Expert in machine learning and data analysis using Python.,Seeking Java developer with Spring Boot experience.,True
"Skilled in JavaScript, React, and Node.js.",Hiring for a data analyst with strong Python skills.,True
"Experienced in Python, Django, and REST APIs.",Hiring for a data analyst with strong Python skills.,True
"Skilled in JavaScript, React, and Node.js.",Wanted: HTML/CSS developer with Vue.js knowledge.,False
"Frontend developer with experience in HTML, CSS, and Vue.js.",Looking for a Python developer with experience in Django.,True
Expert in machine learning and data analysis using Python.,Seeking Java developer with Spring Boot experience.,True
Expert in machine learning and data analysis using Python.,Need a frontend engineer skilled in React and CSS.,True
"Experienced in Python, Django, and REST APIs.",Looking for a Python developer with experience in Django.,True
"Proficient in Java, Spring Boot, and MySQL.",Wanted: HTML/CSS developer with Vue.js knowledge.,False
Expert in machine learning and data analysis using Python.,Hiring for a data analyst with strong Python skills.,True
"Frontend developer with experience in HTML, CSS, and Vue.js.",Need a frontend engineer skilled in React and CSS.,False
"Proficient in Java, Spring Boot, and MySQL.",Need a frontend engineer skilled in React and CSS.,True
"Experienced in Python, Django, and REST APIs.",Need a frontend engineer skilled in React and CSS.,True
